Posting Type,Portfolio Name,Sub Portfolio,Property Name,Expedia ID,Expedia Review Status,Billing Type,From,To,Remaining/Direct Billed,Expedia Amount Reported to Property,Additional Revenue,Expedia Amount Confirmed by Property,,Booking ID,Booking.Com Review Status,Booking.com Amount to be Claimed,Booking.com Amount Confirmed by Property,,Agoda ID,AGODA Review Status,Amount to be Claimed From Agoda,Amount Confirmed by Property
OTA+,Chartwell Hospitality,,"Black Fox Lodge, Pigeon Forge ID-16700171",16700171,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$3,965.43",,"$3,965.43",,,No Review Required,$0.00,,,5110404,OTA Post Completed,$320.23 ,$320.23 
OTA+,Chartwell Hospitality,,"Courtyard Marriott, Franklin ID-2201779",2201779,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,2465787,OTA Post Completed,$325.00 ,$325.00 
OTA+,Chartwell Hospitality,,"Courtyard Marriott, Kansas City ID-13295749",13295749,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,2456877,OTA Post Completed,"$2,622.64 ","$2,622.64 "
OTA+,Chartwell Hospitality,,"Courtyard Marriott, Southaven ID-1524688",1524688,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,2463639,OTA Post Completed,$173.87 ,$173.87 
OTA+,Chartwell Hospitality,,"Courtyard Marriott, Westbury ID-13340746",13340746,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,2453332,OTA Post Completed,$174.98 ,$174.98 
OTA+,Chartwell Hospitality,,Courtyard Wichita East 462128,462128,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,2452662,Job Assigned,,
OTA+,Chartwell Hospitality,,Hampton Inn & Suites Cedar Rapids - North 2351483,2351483,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$1,985.60",,"$1,985.60",,,No Review Required,,,,,Access Required,,
OTA+,Chartwell Hospitality,,Hampton Inn & Suites Davenport 1772036,1772036,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,$371.95,,$371.95,,,No Review Required,,,,2730992,Job Assigned,,
OTA+,Chartwell Hospitality,,"Hampton Inn & Suites, Capitol View ID-51263668",51263668,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$1,218.77",,"$1,218.77",,,No Review Required,,,,14651216,OTA Post Completed,"$3,659.50 ","$3,659.50 "
OTA+,Chartwell Hospitality,,"Hampton Inn & Suites, CO Springs ID-1802475",1802475,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$6,689.33",,"$6,689.33",,,No Review Required,,,,174787,OTA Post Completed,"$1,197.45 ",$985.80 
OTA+,Chartwell Hospitality,,"Hampton Inn & Suites, Franklin Berry Farms ID-19414904",19414904,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$7,909.74",,"$7,909.74",,,No Review Required,,,,4125655,OTA Post Completed,$39.90 ,$39.90 
OTA+,Chartwell Hospitality,,"Hampton Inn, Brentwood ID-13193",13193,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$2,112.98",,"$2,112.98",,,No Review Required,,,,995772,OTA Post Completed,$689.99 ,$689.99 
OTA+,Chartwell Hospitality,,Hilton Alpharetta ID-57786423,57786423,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$8,195.92",,"$8,154.64",,,No Review Required,,,,21829817,OTA Post Completed,"$3,103.08 ","$3,103.08 "
OTA+,Chartwell Hospitality,,Hilton BNA,99268075,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,47843556,Job Assigned,,
OTA+,Chartwell Hospitality,,Hilton Franklin Cool Springs ID-23512626,23512626,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$2,639.66",,"$2,055.52",,,No Review Required,,,,5928924,OTA Post Completed,"$1,704.06 ","$1,202.67 "
OTA+,Chartwell Hospitality,,Hilton Garden Inn Nashville West End Avenue 83542541,83542541,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$12,464.79",,"$12,464.79",,,No Review Required,,,,34408620,Nothing to Report,$0.00,$0.00
OTA+,Chartwell Hospitality,,"Hilton Garden Inn, Brentwood ID-13155015",13155015,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$3,163.88",,"$2,077.28",,,No Review Required,,,,2731583,OTA Post Completed,"$1,006.53 ",$316.54 
OTA+,Chartwell Hospitality,,"Hilton Garden Inn, Charlotte ID-17395746",17395746,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$10,504.01",,"$10,504.01",,,No Review Required,,,,2910762,OTA Post Completed,"$3,319.02 ","$3,319.02 "
OTA+,Chartwell Hospitality,,"Hilton Green Hills, Nashville ID-30473613",30473613,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$5,299.95",,"$5,299.95",,,No Review Required,,,,5862619,OTA Post Completed,"$3,080.37 ","$1,962.33 "
OTA+,Chartwell Hospitality,,Home2 Suites By Hilton Nashville West End Avenue 83757366,83757366,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$4,984.68",,"$4,984.68",,,No Review Required,,,,34467819,Nothing to Report,$0.00,$0.00
OTA+,Chartwell Hospitality,,"Home2 Suites, CO Springs ID-36501393",36501393,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$4,634.61",,"$1,031.73",,,No Review Required,,,,7449546,OTA Post Completed,$416.61 ,$416.61 
OTA+,Chartwell Hospitality,,Homewood Suites by Hilton Cedar Rapids North 3649295,3649295,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$3,011.64",,"$2,532.24",,,No Review Required,,,,206919,Job Assigned,,
OTA+,Chartwell Hospitality,,"Homewood Suites, Charlotte ID-17395811",17395811,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$12,305.58",,"$12,305.58",,,No Review Required,,,,2910764,OTA Post Completed,"$6,035.98 ","$6,035.98 "
OTA+,Chartwell Hospitality,,"Homewood Suites, Denton ID-2880171",2880171,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$1,483.79",,"$1,221.20",,,No Review Required,,,,2731232,Nothing to Report,$0.00,$0.00
OTA+,Chartwell Hospitality,,"Homewood Suites, Oklahoma City ID-1871646",1871646,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$2,040.46",,"$1,607.32",,,No Review Required,,,,2731181,OTA Post Completed,$379.12 ,$379.12 
